Date,passengers
2012,279748
2012,350630
2012,372514
2012,381269
2012,362150
2012,285705
2012,291446
2012,289185
2012,288104
2012,298017
2012,320141
2012,342506
2013,283552
2013,280438
2013,295865
2013,317096
2013,316483
2013,323991
2013,339628
2013,371309
2013,356857
2013,315647
2013,330584
2013,346390
2014,301164
2014,317454
2014,361824
2014,381741
2014,355674
2014,364979
2014,365383
2014,367598
2014,348551
2014,358813
2014,391408
2014,434782
2015,333528
2015,289030
2015,341362
2015,334538
2015,326820
2015,328227
2015,336793
2015,362951
2015,335746
2015,339316
2015,354846
2015,385604
2016,319965
2016,302066
2016,341328
2016,351474
2016,332160
2016,300219
2016,301266
2016,323039
2016,267465
2016,291441
2016,315608
2016,302802
